build,runs,win_rate,wilson_low,wilson_high,mean_upgrades,mean_essential_spending
endurance/explosive/economy/precision,256,0.0078125,0.0021450454442769468,0.02803334015679694,6.28125,177.5000991478023
aviation/torpedo/economy/cadence,256,0.0078125,0.0021450454442769468,0.02803334015679694,6.13671875,201.06997232771565
aviation/explosive/economy/precision,256,0.00390625,0.0006898644160236098,0.02179152424537626,6.19140625,185.55719064943685
flexible/rapid/protection/cadence,256,0.0,0.0,0.014784391721725852,6.421875,205.18553335355634
flexible/rapid/protection/precision,256,0.0,0.0,0.014784391721725852,6.515625,204.03970866676164
flexible/rapid/economy/cadence,256,0.0,0.0,0.014784391721725852,6.16796875,193.207901034226
flexible/rapid/economy/precision,256,0.0,0.0,0.014784391721725852,6.2890625,193.6948227631133
flexible/rapid/control/cadence,256,0.0,0.0,0.014784391721725852,6.49609375,203.50472859857751
flexible/rapid/control/precision,256,0.0,0.0,0.014784391721725852,6.546875,200.9378887392263
fast/rapid/protection/cadence,256,0.0,0.0,0.014784391721725852,6.43359375,197.82615337742337
fast/rapid/protection/precision,256,0.0,0.0,0.014784391721725852,6.48828125,196.70062936900686
fast/rapid/economy/cadence,256,0.0,0.0,0.014784391721725852,6.30078125,188.87509692269273
fast/rapid/economy/precision,256,0.0,0.0,0.014784391721725852,6.33203125,187.6865859745095
fast/rapid/control/cadence,256,0.0,0.0,0.014784391721725852,6.4765625,193.97172119768834
fast/rapid/control/precision,256,0.0,0.0,0.014784391721725852,6.5625,194.23882510402896
endurance/rapid/protection/cadence,256,0.0,0.0,0.014784391721725852,6.08984375,188.33245820676646
endurance/rapid/protection/precision,256,0.0,0.0,0.014784391721725852,6.25390625,187.52308852390962
endurance/rapid/economy/cadence,256,0.0,0.0,0.014784391721725852,5.8828125,178.46807193842048
endurance/rapid/economy/precision,256,0.0,0.0,0.014784391721725852,6.08984375,180.92834555308178
endurance/rapid/control/cadence,256,0.0,0.0,0.014784391721725852,6.23828125,183.88900332739044
endurance/rapid/control/precision,256,0.0,0.0,0.014784391721725852,6.33203125,182.2575060032618
endurance/torpedo/economy/cadence,256,0.0,0.0,0.014784391721725852,6.23828125,192.7040063974323
endurance/explosive/protection/cadence,256,0.0,0.0,0.014784391721725852,6.37890625,187.5825780927891
endurance/explosive/economy/cadence,256,0.0,0.0,0.014784391721725852,6.1484375,177.1314851418889
endurance/explosive/control/cadence,256,0.0,0.0,0.014784391721725852,6.5,181.65860594277999
reinforced/rapid/protection/cadence,256,0.0,0.0,0.014784391721725852,6.34765625,219.35180306515426
reinforced/rapid/protection/precision,256,0.0,0.0,0.014784391721725852,6.4296875,216.6889536684677
reinforced/rapid/economy/cadence,256,0.0,0.0,0.014784391721725852,6.26953125,216.7916918670974
reinforced/rapid/economy/precision,256,0.0,0.0,0.014784391721725852,6.36328125,213.82168814398415
